Date,Automotive Incentive,Dining Incentive,Drug Stores Incentive,E-Commerce Incentive,Fitness/Wellness Centers Incentive,Food Delivery Incentive,Grocery & Gas Incentive,Home Improvement Incentive,Media & Entertainment Incentive,Retail Incentive,Services Incentive,Software Incentive,Telecom Incentive,Travel Incentive,Automotive Redemption,Dining Redemption,Drug Stores Redemption,E-Commerce Redemption,Fitness/Wellness Centers Redemption,Food Delivery Redemption,Grocery & Gas Redemption,Home Improvement Redemption,Media & Entertainment Redemption,Retail Redemption,Services Redemption,Software Redemption,Telecom Redemption,Travel Redemption
2018-11-01,324.6,930.5,57.8,386.2,0,0,69,0,44.4,3857.8,30.4,0,0,1229.4,105.8,1259.6,38.5,67.3,0,0,9.6,0,48.1,884.6,19.2,0,0,96.2
2018-12-01,207.3,1851.2,173.2,207.6,45.1,59.9,137.2,0,122.1,4120.7,36.4,20.1,0,2862.3,82.2,1677.8,90.3,68.7,9.9,15.4,28,0,50.6,736.3,15.4,0.9,0,125.6
2019-01-01,425.8,1759.6,38.8,446.7,86,109.7,21.5,0,214.5,2559.7,362.1,83.9,0,2396.1,137.5,1708.6,37.8,114.4,10.5,23.1,8.4,0,78.7,394.6,21,8.4,0,98.7
2019-02-01,267.7,803.4,29.8,241,37.1,61.8,12,0,123.9,608,161,1085.5,264.2,3338.2,91.3,1245.8,35.1,57.9,14.7,14.7,1.6,0,55.4,137.8,22.8,75.8,9,145.9
2019-03-01,331,998.8,0,387.8,25.3,17.1,22.6,0,78.7,635.5,152.3,1277.3,298.5,2799.1,118.6,1355,0,99.3,10.1,4.2,3.4,0,47.9,146.4,21.9,74,8.4,89.2
2019-04-01,224.9,1111.4,8.4,410.8,38.4,48.7,54.6,0,76.2,885.1,82.7,2688.2,253.5,2330.2,99,1570.1,9.2,97.3,14.3,9.2,14.3,0,42.8,263.5,33.6,175.4,8.4,127.6
2019-05-01,372.7,1407.4,28.6,1038.5,78.5,91.5,137.7,0,197.2,1260.5,153.2,68.3,129,3377.1,117.6,1514.1,27.9,193.4,14.8,18.3,30.5,0,46.2,258.7,17.4,3.5,3.5,191.7
2019-06-01,421.3,1516.9,77.6,126.8,63.7,108.2,239.9,2.4,111.6,1249,178.1,87.3,179.7,4130.2,132.4,1651.1,51.4,30.1,14.2,21.3,39.6,1.2,42,239.4,34.9,7.7,4.7,206.9
2019-07-01,596,1566.3,126.7,247.5,70.9,102.9,263.4,2.1,153,1277,220.6,13.1,169.5,3621.8,178.4,1736.3,69.6,53.4,14.9,23,51.3,0.7,50.7,255.4,19.6,2,4.7,214.8
2019-08-01,473.3,2038.5,127.6,161.6,37.7,158.9,280.2,0,156.5,1805.4,264.7,0,210.8,3170,142.3,1972.7,85.4,35.4,7.6,26.4,48.6,0,49.3,308.3,40.3,0,6.2,179.8
2019-09-01,276.8,2093.2,27,179.2,91,161.3,214.5,0,126.1,978.8,46.1,691.1,120.9,4050.6,78.1,2168.6,25.8,35.1,18.7,20.3,39,0,41.4,237.3,14.1,53.1,3.9,226.4
2019-10-01,419.6,1925.9,221,357.5,110.2,230.6,405.4,0,264.6,1821.4,229.7,1001.3,325.4,2737.8,93.4,1863.1,159.4,71.4,17.3,42.7,66.7,0,63.3,330.1,30.7,74.7,10.7,153.4
2019-11-01,304.5,1823.9,482.7,312.7,62.4,135.6,260.2,0,304.8,3760,65.3,18.2,77.9,2366,80.5,1792.7,385.7,81.1,15,36.6,79.9,0,58.9,681.3,16.2,1.8,3,158.6
